"regulation_type","name","total_count","genes_in_term","regulated_count","regulated_genes","gene_set","expected_count","fold_enrichment","p_value","p_adj"
"up","BMP signaling pathway",79,"ACVR1;ACVR1B;ACVR1C;ACVR2A;ACVR2B;ACVRL1;AMHR2;ATF2;BMP10;BMP2;BMP4;BMP5;BMP6;BMP7;BMPER;BMPR1A;BMPR1B;BMPR2;CHRD;CHRDL1;COMP;DDX5;DLX3;DLX5;DSG4;EGR1;ENG;ETV2;EXT1;FAM83G;FKBP8;FST;GDF2;GDF5;GDF6;GDF7;HES1;HFE;HIVEP1;HJV;LEF1;MAPK3;MEGF8;MSX1;MSX2;NFIA;NOG;NOTCH2;PDCD4;POU5F1;PPARG;RGMA;RGMB;RUNX2;SCX;SFRP1;SFRP2;SLC39A5;SMAD1;SMAD4;SMAD5;SMAD6;SMAD9;SMPD3;SMURF1;SOST;SOSTDC1;SPART;TGFBR1;TGFBR2;TGFBR3;TMEM100;TMPRSS6;TWSG1;USP15;USP9X;USP9Y;WNT5A;ZNF8",6,"CHRDL1;DLX5;MEGF8;SFRP2;TGFBR2;WNT5A","up",6.78534942676605,0.88425807171137,0.682298831468222,1
"up","CD4-positive, alpha-beta T cell proliferation",9,"CARD11;CBLB;CD28;CD3E;FOXP3;ITCH;NDFIP1;PRKCQ;RIPK2",1,"NDFIP1","up",0.773014491656892,1.29363680861478,0.554417209557209,1
"up","CDP-choline pathway",5,"CDS1;CEPT1;CHKA;CHKB;CHPT1",1,"CDS1","up",0.42945249536494,2.32854625550661,0.361772266029451,1
"up","CDP-diacylglycerol biosynthetic process",11,"AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5;CDS1;CDS2;GPAT3;GPAT4;LCLAT1;TAMM41",1,"CDS1","up",0.944795489802868,1.05843011613937,0.627697881601923,1
"up","D-aspartate import across plasma membrane",5,"GFAP;NTSR1;SLC1A1;SLC1A2;SLC1A3",1,"SLC1A3","up",0.42945249536494,2.32854625550661,0.361772266029451,1
"up","D-glucose import",19,"ACACB;C1QTNF12;CD2AP;DHRS7C;DRD1;HNF1A;MAPK14;SESN2;SLC2A1;SLC2A11;SLC2A14;SLC2A2;SLC2A3;SLC2A4;SLC2A5;SLC2A7;SLC2A9;SORT1;TSC1",2,"ACACB;SORT1","up",1.63191948238677,1.22555066079295,0.494437669623455,1
"up","D-glucose transmembrane transport",17,"PPARD;SLC2A1;SLC2A10;SLC2A11;SLC2A12;SLC2A14;SLC2A2;SLC2A3;SLC2A4;SLC2A5;SLC2A6;SLC2A7;SLC2A8;SLC2A9;SLC45A1;SLC5A1;SLC5A3",2,"SLC2A12;SLC2A8","up",1.4601384842408,1.36973309147448,0.435759138391904,1
"up","DNA biosynthetic process",18,"CCN2;CENPF;CHRAC1;DNTT;LIG1;LIG3;LIG4;LIN9;LOX;PHB1;POLB;POLL;POLM;SMPD3;SPHK1;TERT;TK2;TYMS",1,"CCN2","up",1.54602898331378,0.646818404307391,0.801513182388029,1
"up","DNA catabolic process",10,"APEX1;DFFB;DNASE1;DNASE1L1;DNASE1L2;FBH1;ISG20;MUS81;SETMAR;TREX2",1,"DNASE1L1","up",0.85890499072988,1.1642731277533,0.592701574973754,1
"up","DNA damage response",274,"ACER2;AIM2;ALKBH7;ANKLE1;APBB1;APC;APLF;ARMT1;ATAD3A;ATF2;ATM;ATMIN;ATR;BABAM2;BARD1;BATF;BAZ1B;BBC3;BCL2;BCL3;BCL6;BCLAF1;BLM;BOD1L1;BRAT1;BRCA1;BRD4;BRSK1;BTG2;C1QBP;CASP2;CASP3;CASP9;CBL;CBX1;CBX3;CBX5;CCAR2;CCDC13;CCND1;CCNK;CDK1;CDK3;CDKN1A;CDKN2AIP;CENPS;CFAP410;CGAS;CHCHD6;CHD1L;CHD2;CHEK1;CHEK2;CIB1;CIP2A;CRADD;CSNK2A1;CSNK2A2;CTC1;CTLA4;CUL4A;CUL4B;DCUN1D5;DDB1;DDB2;DDIT3;DDX11;DELE1;DGCR8;DTL;DYNLL1;DYRK2;EGLN3;ENDOG;ETAA1;FAAP20;FAM111A;FANCF;FANCG;FANCL;FBH1;FBXO31;FBXO45;FBXO5;FBXW7;FH;FLYWCH1;FMN2;FOXO1;FOXP1;GFI1;GNB1L;GNL1;H2AX;HELB;HERC2;HPF1;HROB;HUS1;IER3;IKBKG;IMMP2L;ING2;INIP;INTS3;IRF3;IRF7;KAT5;KIN;MACROD1;MACROD2;MAPK1;MAPK15;MAPKAPK2;MAPT;MASTL;MCM10;MCM7;MCM8;MCM9;MCTS1;MDC1;MEN1;MICA;MNDA;MORC2;MRNIP;MSL2;MTOR;MTREX;NABP1;NABP2;NCOA6;NEDD4;NEK4;NFAT5;NFATC2;NIPBL;NOP53;NPAS2;NRBP1;NRBP2;NUAK1;OARD1;OGG1;PAK1;PARP1;PARP2;PARP4;PAXX;PCLAF;PIAS1;PIDD1;PIERCE1;PLK3;PLK5;PMAIP1;POLB;POLK;POLQ;PPP1R15A;PPP4R3A;PPP4R3B;PPP4R3C;PRKCD;PRMT1;PSEN1;PSME4;RAD1;RAD17;RAD18;RAD50;RAD51;RAD51AP1;RAD9A;RASSF1;RBM24;RBX1;RFWD3;RIF1;RNF168;RNF169;RNF8;RPA1;RPS3;RPTOR;SAMHD1;SETX;SGK1;SHPRH;SIRT1;SIRT4;SIRT7;SLF1;SLF2;SLFN11;SMC5;SMC6;SMG1;SPATA18;SPDYA;SPIDR;SPINDOC;SPRTN;STK11;STK38;STXBP4;SUSD6;SUV39H1;TAF1;TAF9;TANK;TAOK1;TAOK2;TAOK3;TFDP3;TIGAR;TIMELESS;TLK1;TLK2;TOP2A;TOPBP1;TP53;TP53BP1;TP63;TP73;TRAF6;TRAIP;TRIP12;TTC5;UBA1;UBA6;UBA7;UBE2B;UBE2E2;UBE2T;UBQLN4;UBR5;UFL1;UHRF1;USP10;USP16;USP28;USP47;USP51;VAV3;VCP;VCPIP1;VRK1;VRK2;VRK3;WAC;WDR4;WDR48;WDR76;WNK1;WNK2;WNK3;WRN;XIAP;XRCC3;XRCC5;YAP1;YY1;ZBTB1;ZBTB38;ZBTB4;ZBTB40;ZC3H12A;ZDHHC16;ZMAT3;ZNF385A;ZNF432;ZRANB3",3,"BTG2;UBA7;ZMAT3","up",23.5339967459987,0.127475159972989,0.999999993434888,1
"up","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",19,"ATM;CASP2;CDKN1A;CDKN1B;CHEK2;CRADD;E2F7;GML;GTSE1;MDM2;PIDD1;PLK2;PLK3;PML;PPP2R5C;RBM38;RPL26;TP53;TRIAP1",2,"PLK2;PML","up",1.63191948238677,1.22555066079295,0.494437669623455,1
"up","DNA metabolic process",18,"AEN;DNASE1L1;DNASE1L2;DNASE1L3;DNTT;KPNA2;MYO18A;N4BP2;NME1;NT5E;PLD3;PLD4;RECQL5;REXO2;TATDN1;TOPBP1;TREX2;WRN",2,"DNASE1L1;PLD3","up",1.54602898331378,1.29363680861478,0.465576997828955,1
"up","DNA repair",213,"ACTL6A;ADPRS;APEX1;APLF;ASF1A;ATR;ATRIP;ATRX;BACH1;BARD1;BCCIP;BLM;BOD1L1;BRCA1;BRIP1;BTG2;CDC14B;CDC5L;CDK1;CDK2;CDK7;CDK9;CENPS;CEP164;CGAS;CHAF1A;CHAF1B;CHD1L;CHEK1;CHRNA4;CINP;CLSPN;CSNK1E;CUL4A;DDB1;DDB2;DDX11;DMAP1;DOT1L;DYRK1B;EEPD1;EID3;ENDOV;EP400;EPC2;ETAA1;EXO1;EXOSC10;EYA2;EYA4;FAN1;FANCA;FANCC;FANCG;FANCL;FBH1;FBXO6;FBXW7;FEN1;FH;FMR1;FOXM1;FZR1;GADD45A;GTF2H1;GTF2H3;GTF2H4;HDAC10;HDGFL2;HELB;HERC2;HINFP;HLTF;HPF1;HSF1;HUS1;INIP;INO80;INO80B;INO80C;INO80D;INO80E;INTS3;KAT7;KIF22;KIN;KMT5B;KMT5C;LIG1;MACROH2A1;MCRS1;MDC1;MEN1;MGMT;MNAT1;MORF4L2;MRNIP;MSH2;MSH3;MSH6;MUS81;MUTYH;NABP1;NABP2;NFRKB;NME3;NONO;NOP53;NPM1;NUDT1;PAGR1;PARK7;PARP1;PARP2;PARP4;PARPBP;PAXIP1;PDS5A;PDS5B;PELI1;PIF1;PNKP;POLB;POLH;POLI;POLK;POLQ;PSME4;RAD1;RAD17;RAD18;RAD50;RAD51;RAD51AP1;RAD51B;RAD51C;RAD51D;RAD54L;RAD9A;RAD9B;RBX1;RECQL;RECQL4;RECQL5;RFC1;RFC2;RFC3;RFC4;RFC5;RIF1;RMI2;RNF113A;RPA1;RPA3;RPA4;RPS3;RRM1;RRM2B;RTEL1;RUVBL1;RUVBL2;SHLD1;SHLD2;SHLD3;SHPRH;SIRT7;SLX4;SMC1A;SMC3;SMG1;SSRP1;STUB1;SUMO1;TAOK1;TAOK3;TDP1;TFPT;TICRR;TIMELESS;TOP3A;TOP3B;TOPBP1;TREX2;TRIM28;TRIP12;TTC5;TTF2;UBE2A;UBE2B;UBE2D3;UBE2T;UBE2U;UBE2W;UBQLN4;UBR5;UCHL5;UFL1;UPF1;USP1;USP28;USP3;USP45;USP51;UVRAG;VCP;WDHD1;WRAP53;XRCC2;XRCC3;ZBTB1;ZMPSTE24;ZNF668;ZRANB3",2,"BTG2;POLH","up",18.2946763025464,0.10932142044632,0.999999903680986,1
"up","DNA replication",76,"ADRA2A;ATR;BLM;CDK1;CDK2;CHAF1A;CHAF1B;CHEK1;CHTF18;CHTF8;CINP;DBF4;DHX9;DNA2;DNAJC2;DONSON;DSCC1;DTD1;DTL;DUT;E4F1;FAM111A;FAM111B;FEN1;GMNC;GRWD1;HELB;KAT7;KIN;MCM2;MCM4;MCM5;MCM6;MCM7;MCM8;MCM9;NAP1L1;NASP;NFIA;NFIB;NFIC;NFIX;ORC3;ORC5;PCLAF;POLH;POLI;POLK;POLL;PTMS;RBMS1;RECQL4;RECQL5;REV1;RFC3;RFC5;RMI1;RMI2;RNASEH2A;RPA1;RPA2;RPA3;RPA4;SDE2;SET;SIN3A;SLX4;SSRP1;STRA8;TBRG1;TICRR;TOP1;TOP1MT;UPF1;WRN;ZPR1",2,"NFIX;POLH","up",6.52767792954709,0.306387665198238,0.991223538690398,1
"up","DNA synthesis involved in DNA repair",10,"CDKN2D;HROB;NYNRIN;POLH;RFC3;RRM1;RRM2B;SIRT1;WRN;WRNIP1",1,"POLH","up",0.85890499072988,1.1642731277533,0.592701574973754,1
"up","DNA-templated transcription initiation",17,"BRF1;GTF2B;NAT14;NCOA6;POLR1F;RSF1;TAF10;TAF12;TAF13;TAF4;TAF5;TAF6;TAF7;TAF9B;TBP;TBPL1;TBPL2",1,"NAT14","up",1.4601384842408,0.684866545737238,0.782850061023636,1
"up","ERAD pathway",91,"AMFR;ANKZF1;ATF6;AUP1;BAG6;BRSK2;CALR;CALR3;CANX;CCDC47;CLGN;DERL1;DERL2;DERL3;DNAJB12;DNAJB2;DNAJB9;DNAJC10;ECPAS;EDEM1;EDEM2;EDEM3;ERLEC1;ERLIN1;ERLIN2;FAF1;FAF2;FAM8A1;FBXO17;FBXO2;FBXO27;FBXO44;FBXO6;FOXRED2;GET4;HERPUD1;HSP90B1;HSPA5;JKAMP;MAN1A1;MAN1A2;MAN1B1;MAN1C1;MARCHF6;OS9;PRKN;RCN3;RHBDD1;RHBDD2;RNF103;RNF121;RNF139;RNF145;RNF175;RNF185;RNF5;SDF2L1;SEC61B;SEL1L;SEL1L2;SELENOS;SGTA;STT3B;STUB1;SYVN1;TMEM67;TMUB1;TMUB2;TOR1A;TRIM13;TRIM25;UBE2G2;UBE2J1;UBE2J2;UBE4A;UBE4B;UBQLN1;UBQLN2;UBXN10;UBXN4;UBXN6;UBXN8;UFD1;UGGT1;UGGT2;UMOD;USP19;VCP;WFS1;XBP1;YOD1",7,"EDEM3;ERLIN2;FAM8A1;MAN1A1;MAN1B1;MAN1C1;RHBDD2","up",7.81603541564191,0.895594713656388,0.674501472207278,1
"up","ERK1 and ERK2 cascade",48,"APOA1;BTN2A2;C1QL4;CCL11;CD2AP;CDK1;CTSH;DUSP5;DUSP6;DUSP7;DUSP9;EDN1;EGF;FGF10;FGF18;FGF2;FGF23;FLCN;GRB10;HESX1;HTR2B;INPPL1;IQGAP3;ITGAV;KARS1;LGALS9;MAP2K1;MAP2K2;MAPK1;MAPK3;NLRP12;NOD1;NOD2;OXTR;PTGER4;RIPK2;SMAD4;SOX9;SPRY1;SPRY2;TBC1D10C;TF;TLR4;TNFSF11;WNK4;YWHAZ;ZFP36L1;ZFP36L2",1,"ITGAV","up",4.12274395550342,0.242556901615272,0.986628785218854,1
"up","Fc-epsilon receptor signaling pathway",22,"BTK;FCER1A;FCER1G;FCER2;FER;IKBKB;MAP2K4;MAP2K7;MAP3K1;MAP3K7;MAPK10;MAPK8;MAPK9;PLCG1;PLCG2;PRKCQ;SOS1;SYK;TRAF6;VAV1;VAV2;VAV3",1,"MAPK10","up",1.88959097960574,0.529215058069684,0.861450796377391,1
"up","G protein-coupled opioid receptor signaling pathway",8,"ADCY8;NPBWR1;OPRD1;OPRK1;OPRL1;OPRM1;PENK;SIGMAR1",1,"ADCY8","up",0.687123992583904,1.45534140969163,0.512536006530206,1
"up","G protein-coupled purinergic nucleotide receptor signaling pathway",13,"GPR171;GPR34;GPR87;P2RY1;P2RY11;P2RY12;P2RY13;P2RY14;P2RY2;P2RY4;P2RY6;P2RY8;PTAFR",1,"P2RY6","up",1.11657648794884,0.895594713656388,0.688931220928704,1
"up","G protein-coupled receptor internalization",6,"ADM;ARR3;ARRB1;ARRB2;DRD2;GTF2H2",1,"ADM","up",0.515342994437928,1.94045521292217,0.416600337332553,1
"up","G protein-coupled receptor signaling pathway",768,"ABCA1;ACKR4;ADGRA1;ADGRA2;ADGRA3;ADGRB1;ADGRB2;ADGRB3;ADGRD1;ADGRD2;ADGRE1;ADGRE2;ADGRE3;ADGRE5;ADGRF1;ADGRF3;ADGRF4;ADGRF5;ADGRG1;ADGRG2;ADGRG3;ADGRG4;ADGRG5;ADGRG6;ADGRG7;ADGRL1;ADGRL2;ADGRL3;ADGRL4;ADGRV1;ADORA1;ADORA2B;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;AGT;AGTR1;AKAP12;AKAP13;AKR1C2;AKR1C3;AKT1;APLNR;APLP2;APOA1;APOC3;APOE;APP;AR;AREG;ARHGEF1;ARHGEF11;ARHGEF12;ATRNL1;AVPR1A;AVPR1B;AVPR2;BAIAP3;BDKRB1;BDKRB2;BHLHA15;BRS3;C3;C3AR1;C5;CALM1;CALM2;CALM3;CARTPT;CASR;CCKAR;CCL2;CCL21;CCL23;CCL25;CCL5;CCR10;CCR5;CCR7;CCR8;CCR9;CCRL2;CD3E;CELSR1;CELSR2;CELSR3;CGB1;CGB2;CGB3;CGB7;CHRM1;CHRM2;CHRM3;CMKLR1;CMKLR2;CX3CL1;CX3CR1;CXCL1;CXCL10;CXCL12;CXCL8;CXCL9;CXCR1;CXCR3;CXCR4;CXCR5;CXCR6;DEFB1;DEPTOR;ECE1;ECE2;EDN1;EDNRA;ENTPD2;ESR1;F2R;F2RL1;F2RL2;F2RL3;FCN1;FFAR1;FFAR2;FFAR3;FFAR4;FPR1;FPR2;FRS2;FSHB;FSHR;FZD1;FZD10;FZD2;FZD3;FZD4;FZD5;FZD6;FZD7;FZD8;FZD9;GABBR2;GAST;GCG;GHRL;GHSR;GIPC1;GNA12;GNA13;GNAI1;GNAI2;GNAS;GNAT2;GNAZ;GNB1;GNB2;GNB3;GNB4;GNG10;GNG11;GNG12;GNG13;GNG14;GNG2;GNG3;GNG4;GNG5;GNG5B;GNG7;GNG8;GNGT1;GNGT2;GNRHR;GNRHR2;GPBAR1;GPER1;GPR12;GPR132;GPR135;GPR139;GPR141;GPR142;GPR143;GPR148;GPR15;GPR150;GPR151;GPR152;GPR153;GPR156;GPR158;GPR15LG;GPR160;GPR161;GPR162;GPR17;GPR171;GPR173;GPR174;GPR176;GPR179;GPR18;GPR180;GPR182;GPR183;GPR19;GPR21;GPR25;GPR27;GPR31;GPR32;GPR34;GPR35;GPR37;GPR39;GPR4;GPR42;GPR45;GPR50;GPR52;GPR55;GPR6;GPR61;GPR62;GPR63;GPR65;GPR68;GPR75;GPR82;GPR83;GPR85;GPR87;GPR88;GPRC5A;GPRC5B;GPRC5C;GPRC5D;GPRC6A;GPSM2;GRK2;GRK3;GRK5;GRK6;GRM1;GRPR;HCAR1;HCAR2;HCAR3;HRH1;HTR1A;HTR1E;HTR2B;HTR4;HTR5A;IGF2R;IL2;INPP5K;INS;INSR;KCNK2;KISS1;KISS1R;LANCL1;LGR5;LGR6;LHB;LHCGR;LPAR1;LPAR2;LPAR4;LPAR5;LPAR6;LTB4R;MC2R;MCHR1;MLNR;MRGPRD;MRGPRE;MRGPRF;MRGPRG;MRGPRX1;MRGPRX2;MRGPRX3;MRGPRX4;MTNR1A;MTNR1B;NLN;NLRP6;NMBR;NMU;NMUR1;NPB;NPBWR1;NPFFR1;NPFFR2;NPR1;NPR3;NPW;NPY4R;NPY5R;NTSR1;OPN3;OPN4;OPN5;OPRD1;OR10A2;OR10A5;OR10A7;OR10AC1;OR10AD1;OR10AG1;OR10D3;OR10G2;OR10G3;OR10G4;OR10G6;OR10G7;OR10G8;OR10G9;OR10H1;OR10H2;OR10H3;OR10H5;OR10J1;OR10J3;OR10J4;OR10K1;OR10K2;OR10P1;OR10Q1;OR10R2;OR10S1;OR10T2;OR10V1;OR10W1;OR10X1;OR10Z1;OR11G2;OR11H1;OR11H12;OR11H2;OR11H4;OR11H7;OR13A1;OR13C2;OR13C3;OR13C4;OR13C5;OR13C6P;OR13C7;OR13C8;OR13C9;OR13F1;OR13G1;OR13H1;OR13J1;OR14A16;OR14A2;OR14C36;OR14K1;OR1A1;OR1B1;OR1C1;OR1D2;OR1D4;OR1D5;OR1E1;OR1E2;OR1E3;OR1F1;OR1F2P;OR1G1;OR1I1;OR1J1;OR1J2;OR1J4;OR1K1;OR1L1;OR1L3;OR1L4;OR1L6;OR1L8;OR1M1;OR1N1;OR1N2;OR1Q1;OR1R1P;OR1S1;OR1S2;OR2A4;OR2AE1;OR2AG1;OR2AG2;OR2AJ1;OR2AK2;OR2AP1;OR2AT4;OR2B11;OR2B2;OR2B6;OR2C1;OR2C3;OR2D2;OR2D3;OR2G3;OR2G6;OR2J1;OR2K2;OR2L13;OR2L2;OR2L3;OR2L5;OR2L8;OR2M2;OR2M3;OR2M4;OR2M5;OR2M7;OR2S2;OR2T10;OR2T11;OR2T12;OR2T27;OR2T33;OR2T34;OR2T35;OR2T8;OR2V1;OR2V2;OR2W3;OR2W5P;OR2W6P;OR2Y1;OR2Z1;OR3A1;OR3A2;OR3A3;OR3A4P;OR4A15;OR4A16;OR4A47;OR4A4P;OR4A5;OR4A8;OR4C11;OR4C13;OR4C15;OR4C16;OR4C3;OR4C46;OR4C5;OR4C6;OR4D1;OR4D10;OR4D11;OR4D2;OR4D6;OR4D9;OR4E1;OR4E2;OR4F15;OR4F17;OR4F21;OR4F5;OR4F6;OR4K13;OR4K14;OR4K15;OR4K17;OR4K2;OR4K3;OR4K5;OR4L1;OR4M1;OR4N2;OR4N5;OR4P4;OR4Q2;OR4Q3;OR4S1;OR4S2;OR4X1;OR4X2;OR51A2;OR51A4;OR51A7;OR51B4;OR51B5;OR51B6;OR51C1P;OR51D1;OR51F1;OR51F2;OR51G1;OR51G2;OR51H1;OR51I1;OR51I2;OR51J1;OR51L1;OR51M1;OR51Q1;OR51S1;OR51T1;OR51V1;OR52A1;OR52A5;OR52B2;OR52B4;OR52B6;OR52D1;OR52E1;OR52E2;OR52E4;OR52E5;OR52E6;OR52H1;OR52I1;OR52I2;OR52J3;OR52K1;OR52K2;OR52L2P;OR52M1;OR52N2;OR52N4;OR52N5;OR52R1;OR52W1;OR52Z1P;OR56A1;OR56A4;OR56A5;OR56B1;OR56B2P;OR56B4;OR5A1;OR5A2;OR5AC1;OR5AC2;OR5AK2;OR5AK3P;OR5AP2;OR5AR1;OR5AS1;OR5AU1;OR5B12;OR5B17;OR5B21;OR5B3;OR5BS1P;OR5C1;OR5D14;OR5D16;OR5D18;OR5D3P;OR5F1;OR5H1;OR5H14;OR5H15;OR5H2;OR5H6;OR5I1;OR5J2;OR5K1;OR5K2;OR5K3;OR5L1;OR5L2;OR5M1;OR5M10;OR5M3;OR5V1;OR5W2;OR6A2;OR6B2;OR6B3;OR6C1;OR6C2;OR6C3;OR6C4;OR6C6;OR6C65;OR6C68;OR6C74;OR6C75;OR6C76;OR6F1;OR6J1;OR6K2;OR6K3;OR6K6;OR6M1;OR6N1;OR6N2;OR6P1;OR6Q1;OR6S1;OR6T1;OR6X1;OR6Y1;OR7A10;OR7A17;OR7A2P;OR7A5;OR7C1;OR7C2;OR7D2;OR7D4;OR7E24;OR7G1;OR7G2;OR7G3;OR8A1;OR8B12;OR8B2;OR8B3;OR8B4;OR8B8;OR8D1;OR8D2;OR8D4;OR8G1;OR8G2P;OR8G5;OR8H2;OR8H3;OR8I2;OR8S1;OR9A1P;OR9A4;OR9I1;OR9K2;OR9Q1;OR9Q2;OXER1;OXGR1;OXTR;P2RY1;P2RY10;P2RY11;P2RY12;P2RY13;P2RY14;P2RY2;P2RY4;P2RY6;P2RY8;PDC;PDE3A;PDE3B;PDE4A;PDGFRB;PDGFRL;PGR;PIK3R5;PIK3R6;PLCB1;PLCB2;PLCB3;PLCB4;PLCE1;PLPPR4;PPARG;PRLH;PRLHR;PROK2;PROKR1;PROKR2;PTAFR;PTGDR;PTGDR2;PTGER1;PTGER2;PTGER3;PTGFR;PTH;PTH1R;PTH2R;PTPN6;QRFPR;RAC2;RAMP1;RAMP2;RAMP3;RAPGEF2;RAPGEF4;RAPGEFL1;RASD1;RGR;RGS1;RGS10;RGS11;RGS12;RGS13;RGS14;RGS16;RGS17;RGS18;RGS19;RGS2;RGS20;RGS21;RGS3;RGS4;RGS5;RGS6;RGS7;RGS7BP;RGS8;RGS9;RGS9BP;RHO;RIC8A;RIC8B;RORB;RPH3AL;RRH;S1PR1;S1PR2;S1PR3;S1PR4;SCTR;SLC39A9;SORT1;SSTR4;SSTR5;SUCNR1;TAAR1;TAAR2;TAAR5;TAAR6;TAAR8;TAAR9;TAFA5;TAPT1;TAS1R1;TAS1R2;TAS1R3;TAS2R1;TAS2R14;TAS2R16;TAS2R3;TAS2R38;TAS2R39;TAS2R4;TAS2R40;TAS2R5;TBXA2R;TM2D1;TMEM145;TPRA1;TRHR;TSHB;TSHR;TULP3;UCN;VAV1;VIP;VIPR1;VN1R1;VN1R2;VN1R3;VN1R4;VN1R5;XCR1;ZNF219",18,"ADRA1B;AKR1C3;APOE;ARHGEF12;CELSR1;CELSR2;CELSR3;FZD1;FZD2;GNG2;P2RY6;PDGFRB;PLCE1;PLPPR4;RGS4;S1PR1;SORT1;TMEM145","up",65.9639032880548,0.272876514317181,0.999999999999926,1
